,id,select_column
0,1001,True
1,1002,True
2,1003,True
3,1006,True
4,1009,True
5,1010,True
6,1011,True
7,1012,True
8,1013,True
9,1014,True
10,1015,True
11,1016,True
12,1017,True
13,1018,True
14,1019,True
15,1020,True
16,1022,True
17,1023,True
18,1024,True
19,1025,True
20,1026,True
21,1027,True
22,1028,True
23,1029,True
24,1030,True
25,1031,True
26,1032,True
27,1033,True
28,1034,True
29,1035,True
30,1036,True
31,1037,True
32,1038,True
33,1039,True
34,1040,True
35,1041,True
36,1042,True
37,1043,True
38,1044,True
39,1045,True
40,1046,True
41,1047,True
42,1048,True
43,1049,True
44,1050,True
45,1052,True
46,3395,True
47,3396,True
48,3397,True
49,3398,True
50,3400,True
51,3401,True
52,3402,True
53,3403,True
54,3405,True
55,3406,True
56,3407,True
57,3408,True
58,3409,True
59,3410,True
60,3411,True
61,3412,True
62,3413,True
63,3414,True
64,3415,True
65,3416,True
66,3418,True
67,3419,True
68,3420,True
69,3421,True
70,3424,True
71,3425,True
72,3426,True
73,3427,True
74,3430,True
75,3431,True
76,3432,True
77,3434,True
78,3435,True
79,3436,True
80,3437,True
81,3438,True
82,3439,True
83,3440,True
84,3445,True
85,3446,True
86,3447,True
87,3452,True
88,3453,True
89,3454,True
90,3455,True
91,3456,True
92,3457,True
93,3458,True
94,3459,True
95,3460,True
96,3461,True
97,3462,True
98,3463,True
99,3465,True
100,3466,True
101,3467,True
102,3468,True
103,3470,True
104,3473,True
105,3474,True
106,3475,True
107,3476,True
108,3477,True
109,3478,True
110,3479,True
111,3480,True
112,3481,True
113,3482,True
114,3484,True
115,3485,True
116,3486,True
117,3487,True
118,3497,True
119,3498,True
120,3499,True
121,3500,True
122,3501,True
123,3502,True
124,3503,True
125,3505,True
126,3506,True
127,3507,True
128,3508,True
129,3511,True
130,3512,True
131,3513,True
132,3514,True
133,3515,True
134,3516,True
135,3518,True
136,3520,True
137,3522,True
138,3523,True
139,3524,True
140,3525,True
141,3526,True
142,3527,True
143,3528,True
144,3529,True
145,3542,True
146,3544,True
147,3545,True
148,3546,True
149,3551,True
150,3553,True
151,3556,True
152,3557,True
153,3562,True
154,3563,True
155,3565,True
156,3566,True
157,3567,True
158,3568,True
159,3569,True
160,3572,True
161,3574,True
162,3576,True
163,3577,True
164,3578,True
165,3579,True
166,3580,True
167,3581,True
168,3582,True
169,3583,True
170,3584,True
171,3585,True
172,3586,True
173,3587,True
174,3588,True
175,3589,True
176,3590,True
177,3591,True
178,3592,True
179,3594,True
180,3595,True
181,3596,True
182,3601,True
183,3602,True
184,3603,True
185,3604,True
186,3605,True
187,3606,True
188,3607,True
189,3608,True
190,3609,True
191,3610,True
192,3612,True
193,3613,True
194,3614,True
195,3615,True
196,3616,True
197,3618,True
198,3619,True
199,3620,True
200,3621,True
201,3623,True
202,3624,True
203,3625,True
204,3626,True
205,3627,True
206,3628,True
207,3629,True
208,3630,True
209,3631,True
210,3632,True
211,3633,True
212,3634,True
213,3636,True
214,3637,True
215,3639,True
216,3641,True
217,3642,True
218,3643,True
219,3644,True
220,3645,True
221,3646,True
222,3647,True
223,3650,True
224,3651,True
225,3653,True
226,3654,True
227,3655,True
228,3656,True
229,3657,True
230,3659,True
231,3660,True
232,3661,True
233,3662,True
234,3663,True
235,3664,True
236,3665,True
237,3666,True
238,3667,True
239,3668,True
240,3669,True
241,3670,True
242,3671,True
243,3672,True
244,3674,True
245,3675,True
246,3676,True
247,3677,True
248,3678,True
249,3679,True
250,3680,True
251,3681,True
252,3684,True
253,3685,True
254,3686,True
255,3687,True
256,3688,True
257,3689,True
258,3690,True
259,3691,True
260,3692,True
261,3693,True
262,3694,True
263,3695,True
264,3696,True
265,3697,True
266,3698,True
267,3699,True
268,3700,True
269,3702,True
270,3707,True
271,3708,True
272,3709,True
273,3710,True
274,3711,True
275,3713,True
276,3714,True
277,3715,True
278,3716,True
279,3719,True
280,3720,True
281,3722,True
282,3723,True
283,3724,True
284,3725,True
285,3726,True
286,3729,True
287,3730,True
288,3731,True
289,3733,True
290,3734,True
291,3735,True
292,3739,True
293,3740,True
294,3741,True
295,3742,True
296,3744,True
297,3745,True
298,3746,True
299,3747,True
300,3748,True
301,3751,True
302,3752,True
303,3753,True
304,3754,True
305,3755,True
306,3756,True
307,3757,True
308,3759,True
309,3760,True
310,3764,True
311,3767,True
312,3769,True
313,3771,True
314,3772,True
315,3773,True
316,3774,True
317,3776,True
318,3777,True
319,3781,True
320,3782,True
321,3783,True
322,3784,True
323,3786,True
324,3787,True
325,3788,True
326,3789,True
327,3790,True
328,3791,True
329,3792,True
330,3793,True
331,3794,True
332,3795,True
333,3796,True
334,3798,True
335,3802,True
336,3803,True
337,3805,True
338,3807,True
339,3808,True
340,3809,True
341,3810,True
342,3811,True
343,3813,True
344,3824,True
345,3825,True
346,3829,True
347,3830,True
348,3832,True
349,3833,True
350,3834,True
351,3835,True
352,3842,True
353,3843,True
354,3844,True
355,3845,True
356,3846,True
357,3847,True
358,3849,True
359,3851,True
360,3852,True
361,3854,True
362,3855,True
363,3856,True
364,3858,True
365,3859,True
366,3860,True
367,3861,True
368,3862,True
369,3864,True
370,3865,True
371,3866,True
372,3867,True
373,3868,True
374,3869,True
375,3870,True
376,3871,True
377,3873,True
378,3874,True
379,3875,True
380,3878,True
381,3880,True
382,3881,True
383,3882,True
384,3883,True
385,3884,True
386,3885,True
387,3886,True
388,3887,True
389,3891,True
390,3892,True
391,3894,True
392,3895,True
393,3896,True
394,3897,True
395,3899,True
396,3900,True
397,3901,True
398,3902,True
399,3904,True
400,3906,True
401,3907,True
402,3908,True
403,3909,True
404,3910,True
405,3911,True
406,3912,True
407,3913,True
408,3914,True
409,3915,True
410,3916,True
411,3917,True
412,3918,True
413,3919,True
414,3920,True
415,3921,True
416,3922,True
417,3923,True
418,3924,True
419,3925,True
420,3926,True
421,3927,True
422,3928,True
423,3930,True
424,3931,True
425,3932,True
426,3933,True
427,3934,True
428,3935,True
429,3936,True
430,3937,True
431,3938,True
432,3939,True
433,3940,True
434,3941,True
435,3942,True
436,3943,True
437,3944,True
438,3945,True
439,3946,True
440,3947,True
441,3948,True
442,3950,True
443,3952,True
444,3958,True
445,3959,True
446,3960,True
447,3961,True
448,3962,True
449,3963,True
450,3964,True
451,3965,True
452,3966,True
453,3967,True
454,3968,True
455,3969,True
456,3971,True
457,3972,True
458,3981,True
459,3982,True
460,3992,True
461,3993,True
462,3994,True
463,3995,True
464,3996,True
465,3997,True
466,3998,True
467,3999,True
468,4000,True
469,4001,True
470,4002,True
471,4003,True
472,4004,True
473,4005,True
474,4006,True
475,4008,True
476,4009,True
477,4010,True
478,4011,True
479,4012,True
480,4013,True
481,4015,True
482,4018,True
483,4019,True
484,4021,True
485,4022,True
486,4023,True
487,4024,True
488,4025,True
489,4026,True
490,4027,True
491,4028,True
492,4029,True
493,4030,True
494,4031,True
495,4032,True
496,4033,True
497,4034,True
498,4035,True
499,4036,True
500,4037,True
501,4039,True
502,4040,True
503,4041,True
504,4042,True
505,4043,True
506,4044,True
507,4045,True
508,4046,True
509,4047,True
510,4048,True
511,4049,True
512,4050,True
513,4051,True
514,4052,True
515,4053,True
516,4054,True
517,4055,True
518,4056,True
519,4057,True
520,4058,True
521,4059,True
522,4060,True
523,4061,True
524,4062,True
525,4064,True
526,4066,True
527,4067,True
528,4068,True
529,4071,True
530,4073,True
531,4074,True
532,4075,True
533,4076,True
534,4077,True
535,4080,True
536,4081,True
537,4082,True
538,4085,True
539,4086,True
540,4087,True
541,4090,True
542,4091,True
543,4092,True
544,4094,True
545,4095,True
546,4096,True
547,4097,True
548,4099,True
549,4100,True
550,4101,True
551,4102,True
552,4103,True
553,4104,True
554,4105,True
555,4106,True
556,4108,True
557,4109,True
558,4110,True
559,4111,True
560,4112,True
561,4113,True
562,4114,True
563,4115,True
564,4117,True
565,4119,True
566,4121,True
567,4122,True
568,4124,True
569,4125,True
570,4126,True
571,4127,True
572,4129,True
573,4132,True
574,4133,True
575,4134,True
576,4135,True
577,4136,True
578,4137,True
579,4139,True
580,4140,True
581,4141,True
582,4142,True
583,4143,True
584,4144,True
585,4146,True
586,4148,True
587,4150,True
588,4151,True
589,4152,True
590,4153,True
591,4154,True
592,4155,True
593,4157,True
594,4159,True
595,4161,True
596,4162,True
597,4163,True
598,4164,True
599,4165,True
600,4167,True
601,4168,True
602,4169,True
603,4170,True
604,4173,True
605,4174,True
606,4175,True
607,4177,True
608,4178,True
609,4179,True
610,4180,True
611,4181,True
612,4182,True
613,4183,True
614,4184,True
615,4185,True
616,4186,True
617,4187,True
618,4188,True
619,4189,True
620,4190,True
621,4191,True
622,4192,True
623,4193,True
624,4194,True
625,4195,True
626,4196,True
627,4197,True
628,4198,True
629,4199,True
630,4200,True
631,4201,True
632,4202,True
633,4203,True
634,4204,True
635,4205,True
636,4206,True
637,4207,True
638,4208,True
639,4209,True
640,4211,True
641,4212,True
642,4213,True
643,4214,True
644,4215,True
645,4216,True
646,4217,True
647,4218,True
648,4219,True
649,4220,True
650,4221,True
651,4222,True
652,4223,True
653,4224,True
654,4225,True
655,4226,True
656,4227,True
657,4228,True
658,4229,True
659,4230,True
660,4231,True
661,4233,True
662,4234,True
663,4236,True
664,4237,True
665,4238,True
666,4239,True
667,4243,True
668,4244,True
669,4251,True
670,4252,True
671,4254,True
672,4256,True
673,4257,True
674,4259,True
675,4260,True
676,4261,True
677,4262,True
678,4263,True
679,4264,True
680,4265,True
681,4266,True
682,4268,True
683,4269,True
684,4270,True
685,4282,True
686,4283,True
687,4285,True
688,4286,True
689,4287,True
690,4289,True
691,4290,True
692,4291,True
693,4292,True
694,4293,True
695,4294,True
696,4295,True
697,4296,True
698,4297,True
699,4298,True
700,4303,True
701,4304,True
702,4305,True
703,4306,True
704,4307,True
705,4308,True
706,4309,True
707,4310,True
708,4311,True
709,4312,True
710,4313,True
711,4314,True
712,4315,True
713,4316,True
714,4317,True
715,4319,True
716,4320,True
717,4321,True
718,4322,True
719,4323,True
720,4324,True
721,4325,True
722,4326,True
723,4327,True
724,4328,True
725,4329,True
726,4330,True
727,4331,True
728,4337,True
729,4338,True
730,4339,True
731,4340,True
732,4341,True
733,4342,True
734,4343,True
735,4345,True
736,4346,True
737,4347,True
738,4348,True
739,4349,True
740,4350,True
741,4351,True
742,4353,True
743,4354,True
744,4355,True
745,4358,True
746,4359,True
747,4361,True
748,4362,True
749,4363,True
750,4365,True
751,4366,True
752,4367,True
753,4369,True
754,4371,True
755,4372,True
756,4373,True
757,4375,True
758,4376,True
759,4377,True
760,4379,True
761,4380,True
762,4381,True
763,4382,True
764,4383,True
765,4384,True
766,4385,True
767,4386,True
768,4387,True
769,4388,True
770,4389,True
771,4390,True
772,4391,True
773,4392,True
774,4393,True
775,4395,True
776,4400,True
777,4402,True
778,4403,True
779,4404,True
780,4405,True
781,4406,True
782,4407,True
783,4408,True
784,4409,True
785,4410,True
786,4411,True
787,4412,True
788,4413,True
789,4414,True
790,4415,True
791,4417,True
792,4418,True
793,4419,True
794,4422,True
795,4423,True
796,4424,True
797,4425,True
798,4426,True
799,4427,True
800,4428,True
801,4429,True
802,4430,True
803,4431,True
804,4432,True
